Temps, It, Stocks, Prix
20,20,101.205040,0.805928
21,21,101.791054,0.881725
22,22,101.194908,0.474588
23,23,99.700562,0.258368
24,24,102.643707,0.720907
25,25,100.685005,0.393152
26,26,97.751854,0.152364
27,27,97.187332,0.064779
28,28,98.658821,0.034164
29,29,99.320000,0.000000
30,30,98.870689,0.000000
31,31,98.080444,0.000000
32,32,98.235313,0.000000
33,33,98.509514,0.000000
34,34,97.528084,0.000000
35,35,97.778656,0.000000
36,36,97.124496,0.000000
37,37,96.265411,0.000000
38,38,96.720787,0.000000
39,39,95.305511,0.000000
40,40,94.079681,0.000000
41,41,93.902580,0.000000
42,42,93.928268,0.000000
43,43,94.853035,0.000000
44,44,92.205933,0.000000
45,45,89.949982,0.000000
46,46,90.207222,0.000000
47,47,90.354683,0.000000
48,48,90.231506,0.000000
49,49,91.813370,0.000000
50,50,93.124260,0.000000
51,51,94.158470,0.000000
52,52,94.980568,0.000000
53,53,95.870987,0.000000
54,54,95.811165,0.000000
55,55,96.967049,0.000000
56,56,96.678505,0.000000
57,57,97.665283,0.000000
58,58,98.855507,0.000000
59,59,98.076645,0.000000
60,60,96.938141,0.000000
61,61,98.031754,0.000000
62,62,99.663742,0.000000
63,63,101.050232,0.000000
64,64,101.040443,0.000000
65,65,102.008522,0.000000
66,66,101.661430,0.000000
67,67,102.069916,0.000000
68,68,102.524071,0.000000
69,69,102.205811,0.000000
70,70,103.073357,0.000000
71,71,101.414131,0.000000
72,72,102.713516,0.000000
73,73,99.837807,0.000000
74,74,98.058769,0.000000
75,75,97.782219,0.000000
76,76,96.033478,0.000000
77,77,97.118210,0.000000
78,78,96.992386,0.000000
79,79,95.300880,0.000000
80,80,94.968208,0.000000
81,81,93.981499,0.000000
82,82,93.936378,0.000000
83,83,92.969032,0.000000
84,84,94.313812,0.000000
85,85,95.993080,0.000000
86,86,97.528275,0.000000
87,87,97.794701,0.000000
88,88,99.971939,0.000000
89,89,100.024467,0.000000
90,90,99.575043,0.000000
91,91,99.221619,0.000000
92,92,99.642464,0.000000
93,93,99.141365,0.000000
94,94,98.028557,0.000000
95,95,98.058853,0.000000
96,96,99.164047,0.000000
97,97,99.119583,0.000000
98,98,100.296974,0.000000
99,99,101.340256,0.000000
100,100,100.913528,0.000000
1,1,100.950478,2.406876
2,2,100.333382,2.121640
3,3,102.350365,3.199942
4,4,102.245636,3.243046
5,5,101.747185,2.504742
6,6,102.772377,3.006026
7,7,100.663620,1.863328
8,8,98.962044,1.514339
9,9,99.773621,1.037647
10,10,104.672203,2.881729
11,11,103.913254,3.465408
12,12,107.579506,6.224680
13,13,107.537514,5.026806
14,14,107.280418,4.977291
15,15,108.262039,4.593810
16,16,111.470520,8.594695
17,17,110.019035,6.730102
18,18,108.717331,4.875471
19,19,111.346397,7.934858
20,20,110.239883,6.432234
21,21,112.992058,9.957970
22,22,113.320244,10.228422
23,23,113.283737,8.699143
24,24,112.684814,7.490579
25,25,110.412834,5.007092
26,26,110.864998,5.062490
27,27,112.672951,7.546206
28,28,111.647842,5.565123
29,29,113.044106,6.615097
30,30,115.067139,9.291521
31,31,113.450928,5.934045
32,32,114.557030,7.634888
33,33,115.074265,8.869181
34,34,114.099983,7.130224
35,35,116.138092,9.008105
36,36,117.167664,10.469149
37,37,119.959717,19.852400
38,37,120.179169,19.872250
39,38,117.853004,10.876488
40,39,116.466972,6.838340
41,40,117.402054,8.833377
42,41,118.015343,8.757967
43,42,118.055916,9.022565
44,43,116.271210,4.267969
45,44,117.222687,6.548454
46,45,115.440430,2.292890
47,46,116.777367,3.344457
48,47,116.091705,1.060576
49,48,117.292061,1.331051
50,49,116.595360,0.174337
51,50,117.155060,0.000000
52,51,115.517197,0.000000
53,52,115.771507,0.000000
54,53,114.644005,0.000000
55,54,115.697678,0.000000
56,55,117.989174,0.000000
57,56,118.485077,0.000000
58,56,120.021713,0.000000
59,57,119.380363,0.000000
60,58,119.138123,0.000000
61,59,118.253693,0.000000
62,60,117.945717,0.000000
63,61,116.681480,0.000000
64,62,118.201973,0.000000
65,63,117.236092,0.000000
66,64,116.951271,0.000000
67,65,117.177452,0.000000
68,66,117.154587,0.000000
69,67,117.660133,0.000000
70,68,117.135544,0.000000
71,69,117.154808,0.000000
72,70,119.700310,0.000000
73,71,118.520706,0.000000
74,72,118.897079,0.000000
75,72,120.323967,0.000000
76,72,121.488930,0.000000
77,72,121.321686,0.000000
78,73,118.460266,0.000000
79,74,118.410789,0.000000
80,75,119.972038,0.000000
81,76,119.267387,0.000000
82,77,119.553093,0.000000
83,77,120.003815,0.000000
84,77,122.238411,0.000000
85,77,121.118965,0.000000
86,78,118.683319,0.000000
87,79,117.577911,0.000000
88,80,119.571609,0.000000
89,81,119.735916,0.000000
90,82,119.034462,0.000000
91,82,120.529076,0.000000
92,82,121.526840,0.000000
93,82,120.230133,0.000000
94,82,122.704811,0.000000
95,82,123.531807,0.000000
96,82,123.903793,0.000000
97,82,121.566559,0.000000
98,82,120.925690,0.000000
99,82,121.221710,0.000000
100,82,121.248131,0.000000
1,1,98.581154,1.608616
2,2,98.297234,1.119658
3,3,100.828636,1.988078
4,4,102.385162,3.606778
5,5,103.302940,2.956329
6,6,104.598076,3.949727
7,7,104.832718,4.142353
8,8,102.893181,3.163714
9,9,104.654648,3.616774
10,10,107.675316,5.578153
11,11,107.293434,4.841905
12,12,107.989723,6.211022
13,13,108.095970,6.476340
14,14,106.169464,3.046071
15,15,105.862717,3.750607
16,16,105.917007,3.458566
17,17,106.989540,4.113278
18,18,106.440269,3.267600
19,19,106.279655,3.429438
20,20,103.788414,1.652853
21,21,103.929047,1.646927
22,22,103.440300,1.118125
23,23,102.114799,0.427609
24,24,100.325058,0.248712
25,25,98.899376,0.129985
26,26,97.809502,0.109431
27,27,96.918472,0.000000
28,28,97.996979,0.082901
29,29,99.246300,0.203473
30,30,98.471130,0.000000
31,31,97.890778,0.029382
32,32,95.085457,0.000000
33,33,94.897018,0.000000
34,34,94.930824,0.000000
35,35,97.871620,0.000000
36,36,98.643364,0.000000
37,37,98.086472,0.000000
38,38,97.282730,0.000000
39,39,96.551003,0.000000
40,40,95.563416,0.000000
41,41,92.404320,0.000000
42,42,91.036407,0.000000
43,43,91.449928,0.000000
44,44,90.982735,0.000000
45,45,89.419373,0.000000
46,46,91.579910,0.000000
47,47,91.765327,0.000000
48,48,90.825005,0.000000
49,49,92.044731,0.000000
50,50,92.763290,0.000000
51,51,92.342087,0.000000
52,52,91.989952,0.000000
53,53,92.640121,0.000000
54,54,93.154190,0.000000
55,55,92.033493,0.000000
56,56,93.029625,0.000000
57,57,92.633240,0.000000
58,58,93.291840,0.000000
59,59,93.298515,0.000000
60,60,92.517326,0.000000
61,61,94.106918,0.000000
62,62,94.974724,0.000000
63,63,95.573814,0.000000
64,64,96.653229,0.000000
65,65,97.193672,0.000000
66,66,97.486450,0.000000
67,67,96.160873,0.000000
68,68,94.835159,0.000000
69,69,94.212578,0.000000
70,70,95.830765,0.000000
71,71,95.225143,0.000000
72,72,95.559418,0.000000
73,73,96.857422,0.000000
74,74,98.311462,0.000000
75,75,99.409645,0.000000
76,76,99.964386,0.000000
77,77,100.395561,0.000000
78,78,100.726723,0.000000
79,79,101.442574,0.000000
80,80,99.332542,0.000000
81,81,99.643425,0.000000
82,82,98.613594,0.000000
83,83,100.534439,0.000000
84,84,101.918556,0.000000
85,85,101.873466,0.000000
86,86,101.810455,0.000000
87,87,102.452721,0.000000
88,88,104.157860,0.000000
89,89,105.442223,0.000000
90,90,106.327148,0.000000
91,91,107.763306,0.000000
92,92,107.343773,0.000000
93,93,108.874466,0.000000
94,94,111.597038,0.000000
95,95,111.498718,0.000000
96,96,112.056297,0.000000
97,97,113.008713,0.000000
98,98,113.698387,0.000000
99,99,114.612480,0.000000
100,100,114.778549,0.000000
1,1,101.165962,2.659294
2,2,99.439003,2.071797
3,3,98.626991,1.930418
4,4,99.957977,1.254378
5,5,101.020020,2.365929
6,6,102.544083,2.203040
7,7,100.980713,1.614455
8,8,99.521996,1.097054
9,9,98.329483,0.791633
10,10,98.209251,0.563561
11,11,98.617622,0.994096
12,12,99.671852,0.980463
13,13,100.217316,0.842157
14,14,102.110489,1.318560
15,15,99.719215,0.520600
16,16,99.687004,0.491030
17,17,101.473312,1.358911
18,18,105.390381,2.138053
19,19,104.124962,1.861495
20,20,102.760750,1.193486
21,21,103.647125,1.674334
22,22,103.074646,1.075384
23,23,101.630600,0.743329
24,24,102.136948,0.454744
25,25,101.782005,0.361379
26,26,103.479042,0.706214
27,27,102.762505,0.667044
28,28,104.574173,0.625392
29,29,103.768188,0.588001
30,30,103.428810,0.108954
31,31,102.673286,0.191326
32,32,102.389778,0.086280
33,33,102.109993,0.100034
34,34,99.837776,0.000000
35,35,99.875725,0.000000
36,36,102.767609,0.077577
37,37,103.659561,0.089259
38,38,105.996727,0.099411
39,39,106.661446,0.074799
40,40,106.672005,0.103727
41,41,107.332085,0.102321
42,42,106.776741,0.066513
43,43,105.679123,0.000000
44,44,106.977753,0.000000
45,45,109.970528,0.099576
46,46,111.462852,0.027573
47,47,111.316750,0.000000
48,48,112.710075,0.021399
49,49,111.233124,0.000000
50,50,111.622002,0.000000
51,51,112.014030,0.000000
52,52,112.028465,0.000000
53,53,110.417473,0.000000
54,54,110.985512,0.000000
55,55,112.199348,0.000000
56,56,112.761833,0.000000
57,57,111.928955,0.000000
58,58,111.540771,0.000000
59,59,112.027954,0.000000
60,60,112.200844,0.000000
61,61,111.874977,0.000000
62,62,112.010811,0.000000
63,63,111.919250,0.000000
64,64,111.132034,0.000000
65,65,110.453156,0.000000
66,66,111.800545,0.000000
67,67,111.892006,0.000000
68,68,111.396858,0.000000
69,69,113.696236,0.000000
70,70,113.923973,0.000000
71,71,113.663406,0.000000
72,72,113.494698,0.000000
73,73,114.334419,0.000000
74,74,113.499382,0.000000
75,75,113.831200,0.000000
76,76,114.148140,0.000000
77,77,116.152893,0.000000
78,78,114.531342,0.000000
79,79,112.318558,0.000000
80,80,113.800217,0.000000
81,81,113.579391,0.000000
82,82,111.713371,0.000000
83,83,110.866898,0.000000
84,84,112.275719,0.000000
85,85,113.350739,0.000000
86,86,113.153030,0.000000
87,87,114.568947,0.000000
