Temps,It,Stocks,Prix
43,43,98.655777,0.000000
44,44,99.924484,0.000000
45,45,100.278809,0.000000
46,46,98.666786,0.000000
47,47,98.736923,0.000000
48,48,99.954323,0.000000
49,49,99.021210,0.000000
50,50,99.650894,0.000000
51,51,99.585686,0.000000
52,52,100.330460,0.000000
53,53,99.096092,0.000000
54,54,101.190132,0.000000
55,55,100.296074,0.000000
56,56,102.840591,0.000000
57,57,104.540398,0.000000
58,58,104.653816,0.000000
59,59,103.562996,0.000000
60,60,104.319603,0.000000
61,61,102.261391,0.000000
62,62,101.879173,0.000000
63,63,101.725334,0.000000
64,64,100.484055,0.000000
65,65,101.962700,0.000000
66,66,103.300713,0.000000
67,67,101.606682,0.000000
68,68,103.299957,0.000000
69,69,103.650444,0.000000
70,70,103.295921,0.000000
71,71,103.849991,0.000000
72,72,103.916161,0.000000
73,73,102.684807,0.000000
74,74,101.383415,0.000000
75,75,100.190887,0.000000
76,76,101.624908,0.000000
77,77,102.520561,0.000000
78,78,102.842094,0.000000
79,79,104.009140,0.000000
80,80,104.365204,0.000000
81,81,105.094078,0.000000
82,82,106.685730,0.000000
83,83,107.635056,0.000000
84,84,106.995544,0.000000
85,85,108.957451,0.000000
86,86,108.109543,0.000000
87,87,105.162292,0.000000
88,88,106.943611,0.000000
89,89,106.728363,0.000000
90,90,106.573364,0.000000
91,91,108.500931,0.000000
92,92,109.856819,0.000000
93,93,109.667267,0.000000
94,94,107.839775,0.000000
95,95,106.615616,0.000000
96,96,106.066322,0.000000
97,97,106.333771,0.000000
98,98,108.410149,0.000000
99,99,106.902046,0.000000
100,100,107.468346,0.000000
1,1,99.353577,1.686337
2,2,104.051697,4.291058
3,3,101.687103,2.255627
4,4,100.645874,1.942500
5,5,101.374748,2.246747
6,6,100.060600,1.040811
7,7,100.132202,1.850551
8,8,100.616692,1.750967
9,9,104.108604,1.881766
10,10,106.038452,3.225504
11,11,106.105621,3.109178
12,12,105.530159,3.299847
13,13,106.258125,4.167858
14,14,106.867943,3.145993
15,15,106.446693,2.644461
16,16,104.732903,1.582669
17,17,103.849510,0.928699
18,18,105.305977,1.099492
19,19,104.834892,1.491111
20,20,105.616028,1.424958
21,21,105.456802,1.459981
22,22,105.032188,0.918718
23,23,107.109154,1.560254
24,24,109.655807,4.766795
25,25,112.337830,4.899043
26,26,112.891388,6.750086
27,27,114.889954,9.115717
28,28,113.119896,5.018290
29,29,111.608986,4.491705
30,30,111.916168,3.440021
31,31,110.134125,2.293149
32,32,111.144478,2.841871
33,33,109.999405,1.717828
34,34,112.635162,2.699537
35,35,111.527832,1.220100
36,36,110.497116,1.566317
37,37,110.716530,1.112849
38,38,112.511757,1.888556
39,39,111.508514,1.485583
40,40,109.827385,0.739502
41,41,110.821968,0.985766
42,42,113.048729,1.092369
43,43,109.617012,0.122791
44,44,109.525177,0.000000
45,45,110.349358,0.000000
46,46,108.159554,0.000000
47,47,113.365868,0.000000
48,48,115.826073,0.145131
49,49,116.167931,0.000000
50,50,116.764801,0.000000
51,51,115.393875,0.000000
52,52,113.495750,0.000000
53,53,111.976234,0.000000
54,54,111.840652,0.000000
55,55,113.430679,0.000000
56,56,112.206596,0.000000
57,57,111.510757,0.000000
58,58,112.009720,0.000000
59,59,112.108376,0.000000
60,60,113.951599,0.000000
61,61,114.046165,0.000000
62,62,113.022812,0.000000
63,63,114.042564,0.000000
64,64,114.780037,0.000000
65,65,114.719162,0.000000
66,66,113.588951,0.000000
67,67,114.078163,0.000000
68,68,114.456596,0.000000
69,69,112.391029,0.000000
70,70,112.183495,0.000000
71,71,114.560303,0.000000
72,72,114.316879,0.000000
73,73,113.951195,0.000000
74,74,115.272820,0.000000
75,75,113.991928,0.000000
76,76,114.177658,0.000000
77,77,114.611961,0.000000
78,78,116.267509,0.000000
79,79,116.766609,0.000000
80,80,117.763123,0.000000
81,81,118.147400,0.000000
82,82,119.725609,0.000000
83,83,117.987167,0.000000
